SP;GD;NUM_BP;DROPPED_PAIRS;SEQS
Acrocephalus_newtoni;0.00644590171088431;41;24;8
Acrocephalus_orinus;0.00985290745416681;3617;918;44
Acrocephalus_paludicola;0.00725255878107730;61;0;5
Acrocephalus_palustris;0.0135979834170855;15406;122;54
Acrocephalus_rimatarae;0.00112900974481168;6;0;4
Acrocephalus_rufescens;0.00917570274473597;346;0;9
Acrocephalus_schoenobaenus;0.00438629415569973;167;48;12
Acrocephalus_scirpaceus;0.0154171613818505;110943;272;136
Acrocephalus_sechellensis;0.00162320366700008;5;6;4
Acrocephalus_stentoreus;0.0221316500420181;1234;0;12
Acrocephalus_syrinx;0.00139617261688390;10;0;5
Acrocephalus_taiti;0.000460564649605865;4;0;5
Acrocephalus_tangorum;0.00367592774981122;32;0;5
Acrocephalus_vaughani;0.0186863090839111;172;0;5
Actinodura_egertoni;0.00338730656179269;58;0;6
Actinodura_morrisoniana;0.00179150063030365;11;0;4
Actinodura_nipalensis;0.00345065562456867;10;6;4
Actinodura_ramsayi;0.00340572221242904;13;0;4
Actinodura_souliei;0.000875656742556918;1;4;3
Actinodura_waldeni;0.00221633616516735;13;0;4
Actophilornis_africanus;NaN;0;2;2
Adelomyia_melanogenys;0.0517596891706714;35165;0;35
Aechmophorus_clarkii;NaN;0;2;2
Aegithalos_caudatus;0.00722130392789330;58519;0;132
Aegithalos_concinnus;0.0144327111337538;354187;0;227
Aegithalos_fuliginosus;0.000215709895764985;144;0;39
Aegithalos_iouschistos;0.00475013449966470;14;0;3
Aegithalos_leucogenys;0.00641711229946524;6;0;2
Aegithalos_niveogularis;0.00448757608433061;12;0;3
Aegolius_acadicus;0.00150542539323768;2047;108;55
Aegolius_funereus;0.00633530550625794;142;174;17
Aegotheles_albertisi;0.0467023181573502;146;0;4
Aegotheles_archboldi;0.00569259962049336;18;0;4
Aegotheles_bennettii;0.0221845179909696;146;36;9
Aegotheles_crinifrons;0.00980392156862745;3;0;2
Aegotheles_cristatus;0.00494132458926738;36;16;6
Aegotheles_insignis;0.00919046223260256;29;8;5
Aegotheles_tatei;0.00570342205323194;3;0;2
Aegotheles_wallacii;0.0170970387419042;54;0;4
Aegypius_monachus;0.0166345088322168;4142;320;44
Aethopyga_gouldiae;0.00788091068301226;9;0;2
Agelaioides_badius;0.00267956247186567;7;0;3
Agelaius_phoeniceus;0.00835754732427237;627;26;14
Agelaius_tricolor;NaN;0;2;2
Agelasticus_cyanopus;0.00325765517276031;17;0;4
Agelasticus_thilius;0;0;0;2
Agelasticus_xanthophthalmus;0;0;0;2
Ailuroedus_buccoides;0.0128772076206369;463;0;10
Ailuroedus_crassirostris;0.0330703923910066;1182;0;10
Ailuroedus_melanotis;0.00853631141490968;532;0;13
Aimophila_botterii;0.00502172000210938;3572;190;48
Aimophila_cassinii;0.00145271966367763;28;0;8
Aimophila_ruficauda;0.00612959719789842;7;0;2
Alaemon_alaudipes;0.0258004062113150;380;0;6
Alauda_arvensis;0.0277446887954649;255;0;5
Alauda_gulgula;0.00908173562058527;9;0;2
Alca_torda;0;0;0;2
Alcedo_atthis;0.209302325581395;135;10;4
Alcippe_brunnea;0.0806616893573415;151;0;3
Alcippe_brunneicauda;0.0104385714826716;29;0;3
Alcippe_castaneceps;0.0263742766392499;108;0;4
Alcippe_chrysotis;0.0344464315944500;445;0;6
Alcippe_cinerea;0.0251916890922418;305;0;6
Alcippe_cinereiceps;0.0406619818672395;430;0;6
Alcippe_dubia;0.0546083002347910;886;12;8
Alcippe_grotei;0.00201703272075303;5;0;3
Alcippe_morrisonia;0.0586651925601878;172604;194;98
Alcippe_nipalensis;0.0560420315236427;64;0;2
Alcippe_peracensis;0.00527704485488127;12;0;3
Alcippe_poioicephala;0.0280401503462727;2106;0;14
Alcippe_ruficapilla;0.00810904543987506;14;0;3
Alcippe_rufogularis;0.0602647593951942;162;0;3
Alcippe_vinipectus;0.0357975254721027;334;0;5
Aleadryas_rufinucha;0.00151745068285281;1;0;2
Alectoris_graeca;0.00143675095131406;26;36;9
Alectoris_magna;0.00324045580664323;726;0;24
Alectrurus_risora;0.00363249895124216;138;0;11
Alectura_lathami;0.00174270229211565;6232;972;127
Alethe_choloensis;0.00262697022767075;3;0;2
Alethe_diademata;0.0517384639511044;113;0;3
Alethe_fuelleborni;0.00525649861117720;18;0;3
Alethe_poliocephala;0.0424536951166602;5324;0;16
Alethe_poliophrys;0.00116754232340922;4;0;3
Alipiopsitta_xanthops;0.0217889908256881;19;4;3
Alle_alle;0.00437083457624540;45;0;5
Alophoixus_bres;0.00225479143179256;2;0;2
Alopochen_aegyptiaca;0.00109170305676856;1;4;3
Amadina_fasciata;0;0;0;2
Amandava_amandava;0.00108225108225108;1;0;2
Amaurocichla_bocagei;0;0;0;2
Amaurornis_akool;0.0999286224125625;280;0;3
Amaurornis_olivacea;0.0586319218241042;18;0;2
Amaurornis_phoenicurus;0.0283222249601198;232;24;7
Amazilia_brevirostris;0;0;24;1
Amazilia_tzacatl;0.0273972602739726;16;0;2
Amazilia_versicolor;0;0;0;1
Amazona_agilis;0.00167785234899329;1;0;2
Amazona_arausiaca;0.00142909695828931;6;0;4
Amazona_auropalliata;NaN;0;2;2
Amazona_barbadensis;0.00194741966893866;6;0;3
Amazona_collaria;0;0;0;2
Amazona_farinosa;0.0195883164142913;3291;42;22
Amazona_guildingii;0;0;4;3
Amazona_imperialis;0;0;0;2
Amazona_kawalli;0.00230414746543779;2;0;2
Amazona_ochrocephala;0.0234713263275349;632;0;9
Amazona_oratrix;NaN;0;2;2
Amazona_ventralis;0.0458798843906211;294;8;5
Amazona_vittata;0.00124641506894067;5;0;4
Amazonetta_brasiliensis;0;0;0;2
Amblycercus_holosericeus;0.0275844293911732;369;0;6
Amblyornis_inornata;0.00546448087431694;5;0;2
Amblyramphus_holosericeus;0.00113122171945701;1;0;2
Ammodramus_humeralis;0.0116959064327485;8;0;2
Ammodramus_savannarum;0.0762455414590726;226;0;3
Ammomanes_cinctura;0.0485264618746846;466;0;5
Ammomanes_deserti;0.0464692279546286;669;0;6
Ampelioides_tschudii;0.0105728149489547;25;6;4
Ampelion_rubrocristatus;0.00439560439560440;4;4;3
Amphispiza_belli;0.00799563838612441;40770;0;95
Amphispiza_bilineata;0;0;0;2
Anairetes_agilis;NaN;0;2;2
Anairetes_alpinus;NaN;0;2;2
Anairetes_flavirostris;0.0274466737722566;163;18;6
Anairetes_nigrocristatus;0.00161303574368902;269;38;20
Anairetes_parulus;0.00854380856415772;18;6;4
Anairetes_reguloides;0.00242471839743559;3150;104;53
Anas_acuta;0.00383141762452107;12;6;4
Anas_bahamensis;0.00191816013511692;6;0;3
Anas_castanea;NaN;0;2;2
Anas_clypeata;0.0136113124618872;84;0;4
Anas_crecca;0.0127070877871047;82;8;5
Anas_cyanoptera;0.00255427841634738;8;6;4
Anas_discors;0.00191754554170662;2;0;2
Anas_falcata;0.0293742017879949;92;0;3
Anas_flavirostris;0;0;0;3
Anas_formosa;0.00511223029158692;16;0;3
Anas_gracilis;NaN;0;2;2
Anas_hottentota;0.000957854406130268;1;0;2
Anas_penelope;0.000957854406130268;1;0;2
Anas_platyrhynchos;0.000746515872198916;1372;2280;74
Anas_poecilorhyncha;0.000558456783908099;6;0;5
Anas_puna;0;0;0;2
Anas_querquedula;0;0;0;2
Anas_rhynchotis;NaN;0;2;2
Anas_sibilatrix;0.00191570881226054;2;0;2
Anas_sparsa;0.00478927203065134;5;0;2
Anas_strepera;0.000677799637410341;1007;0;55
Anas_superciliosa;0.00207468879668050;1;10;4
Andigena_cucullata;0.00175944961971540;11;0;4
Andigena_hypoglauca;0.00670956900021834;20;0;3
Andigena_laminirostris;0.0100455100455100;26;0;3
Andropadus_importunus;0.0786948176583493;41;0;2
Andropadus_latirostris;0.0179996376338039;1053;28;15
Andropadus_masukuensis;0.0251874021306614;287;14;8
Andropadus_nigriceps;0.00988118837813460;40;16;6
Andropadus_tephrolaemus;0.0254527427717573;2211;68;19
Andropadus_virens;0.0302457466918715;16;0;2
Anhinga_anhinga;0.00412206931702345;4;0;3
Anisognathus_igniventris;0.0280970625798212;22;0;2
Anisognathus_lacrymosus;0.0297723292469352;34;0;2
Anisognathus_notabilis;0.00442086648983201;5;0;2
Anodorhynchus_hyacinthinus;0.000371676098249100;1494;0;86
Anodorhynchus_leari;0.00260671228413164;8;0;3
Anorrhinus_austeni;0.0154015401540154;14;0;2
Anorrhinus_galeritus;0.0117345067840117;32;0;3
Anorrhinus_tickelli;0.0495049504950495;45;0;2
Anous_minutus;0.000991196550847270;8;0;5
Anous_stolidus;0.0169361057829335;82;0;4
Anous_tenuirostris;0.0487098347463639;205;0;4
Anser_albifrons;0.00876124690058135;12498;236;61
Anser_anser;0.000670623588677748;40;10;12
Anser_cygnoides;0.00801910590891587;4015;230;32
Anser_erythropus;0.00628146389584637;19986;176;89
Anser_fabalis;0.000582358383940704;14;0;8
Anser_indicus;0.00383141762452107;4;0;2
Anseranas_semipalmata;0.000875656742556918;1;4;3
Anthracoceros_albirostris;0.00817493366420441;46;0;4
Anthracoceros_coronatus;0;0;0;2
Anthracoceros_malayanus;0.0364854716692465;345;0;5
Anthracothorax_prevostii;NaN;0;2;2
Anthus_berthelotii;0.00218424390183189;71;0;9
Anthus_campestris;0.00612384871644131;15;0;3
Anthus_gutturalis;0.0272206303724928;19;0;2
Anthus_hodgsoni;NaN;0;2;2
Anthus_nilghiriensis;0.000962463907603465;1;0;2
Anthus_novaeseelandiae;0;0;0;1
Anthus_pratensis;0;0;0;2
Anthus_rufulus;0.00683127088014203;135;0;7
Anthus_similis;0.0157250937125844;778;0;11
Anthus_spinoletta;0.0382956780651305;117;0;3
Anthus_trivialis;0.0716723549488055;63;0;2
Antilophia_galeata;0.00235294117647059;1;0;2
Anumbius_annumbi;0.00107411385606874;1;0;2
Apalis_flavida;0.00777453838678328;8;0;2
Apalis_thoracica;0.0525252525252525;52;0;2
Aphanotriccus_audax;0.00350262697022767;4;0;2
Aphelocephala_leucopsis;0.00628930817610063;4;0;2
Aphelocoma_californica;0.0142852117167991;8071;2;38
Aphelocoma_coerulescens;0.0420731707317073;207;0;4
Aphelocoma_insularis;0;0;0;3
Aphelocoma_ultramarina;0.00829268292682927;102;0;6
Aphelocoma_unicolor;0.0430894308943089;2756;0;13
Aphrastura_spinicauda;0.00166584561895821;45;16;9
Aptenodytes_forsteri;0.00318202078738390;67236;0;236
Aptenodytes_patagonicus;0.0120272909708737;279;0;7
Apteryx_australis;0.0127130023532158;44031;184;93
Apteryx_haastii;0.00193862318333907;344;426;30
Apteryx_mantelli;0.00376979100463629;10339;508;82
Apteryx_owenii;0.00608787419645245;1021;1748;53
Apus_acuticauda;0;0;0;2
Apus_affinis;0.00452273370593600;823;34;25
Apus_alexandri;0.00119474313022700;1;0;2
Apus_apus;0.00447986279492691;410;106;20
Apus_balstoni;0;0;0;2
Apus_barbatus;0.0300638857572341;80;0;3
Apus_batesi;0.00225988700564972;2;0;2
Apus_berliozi;0.00235266798982698;26;0;6
Apus_bradfieldi;0.0186263096623981;16;0;2
Apus_caffer;0.00864606445648986;72;0;5
Apus_nipalensis;0.00996842563519208;21;12;5
Apus_pacificus;0.0159314880872382;287;0;7
Apus_pallidus;0.00335023595189813;42;0;6
Apus_unicolor;0.00348837209302326;3;0;2
Aquila_adalberti;0;0;0;2
Aquila_africanus;NaN;0;2;2
Aquila_audax;0.00605458152359775;37;24;7
Aquila_chrysaetos;0.00541162854383134;112;0;7
Aquila_clanga;0.000844913538992352;8;0;5
Aquila_fasciatus;0.00313513404112400;1413;310;36
Aquila_gurneyi;0;0;10;6
Aquila_heliaca;0.00198554998518328;12;8;5
Aquila_nipalensis;0.00101259660845153;3;0;3
Aquila_pomarina;0.0155487633705589;154;10;6
Aquila_rapax;0.00848438490579347;85;10;6
Aquila_verreauxii;0.000690846286701209;2;0;3
Aquila_wahlbergi;0.00280676292236986;8;0;3
Ara_glaucogularis;NaN;0;2;2
Arachnothera_longirostra;0.0126416808246292;86081;0;113
Aratinga_aurea;0.00371104637571703;10;0;3
Aratinga_auricapillus;0.00588235294117647;12;0;4
Aratinga_brevipes;NaN;0;2;2
Aratinga_cactorum;0.00600961538461539;5;4;3
Aratinga_jandaya;0;0;0;5
Aratinga_leucophthalma;0.0337837837837838;30;0;2
Aratinga_mitrata;0.000968054211035818;1;0;2
Aratinga_rubritorquis;0.00311203319502075;3;0;2
Aratinga_solstitialis;0.00196078431372549;2;0;3
Aratinga_weddellii;0.00182965616525495;7;16;6
Arborophila_ardens;0.00132158590308370;42;0;8
Arborophila_atrogularis;0.00176211453744493;2;0;2
Arborophila_brunneopectus;0.00117474302496329;4;0;3
Arborophila_chloropus;0;0;0;1
Arborophila_crudigularis;0.000704845814977974;8;0;5
Arborophila_gingica;0.00221100594081505;138;0;11
Arborophila_rufipectus;0;0;0;2
Arborophila_rufogularis;0.0167400881057269;19;0;2
Arborophila_torqueola;0.00352422907488987;4;0;2
Archilochus_colubris;0;0;10;4
Ardea_cinerea;0.00208404927937353;55;106;14
Ardea_herodias;0.00874083341252912;17;22;6
Ardea_purpurea;0.00474703651443455;30;8;6
Ardeola_bacchus;0;0;8;1
Ardeotis_arabs;0.00837451141594201;244;0;8
Ardeotis_kori;0.0214907322695075;136;18;6
Ardeotis_nigriceps;0.00352733686067019;4;0;3
Arenaria_interpres;0.00350262697022767;4;0;2
Argusianus_argus;0.100844500916104;255;14;5
Arremon_aurantiirostris;0.0530990566943601;3014;0;11
Arremon_flavirostris;0.0116080914248719;3522;0;27
Arremonops_rufivirgatus;NaN;0;2;2
Arses_insularis;0.00300601202404810;3;0;2
Arses_kaupi;0.00193986420950533;2;0;2
Arses_telescophthalmus;0.00387972841901067;4;0;2
Artamus_cyanopterus;0.00538334122101278;91;0;2
Artamus_leucorynchus;0.0108355114510723;55;0;4
Arundinicola_leucocephala;0.000875656742556918;6;0;4
Asio_flammeus;0.0119439383561662;109;36;9
Asio_otus;0.0172939669313932;443;126;16
Asthenes_dorbignyi;0.00820335990213102;22;14;5
Asthenes_humicola;0;0;0;2
Asthenes_modesta;0.0170340681362725;17;0;2
Atelornis_crossleyi;0.00308959835221421;3;0;2
Atelornis_pittoides;0.00268732749993919;28;0;5
Athene_brama;NaN;0;2;2
Athene_cunicularia;0.0243485182965843;306;48;11
Athene_noctua;0.0451211269817168;1070;56;11
Atlapetes_pileatus;0.00612959719789842;7;0;2
Attagis_gayi;0.00278973508428310;9;0;3
Attila_citriniventris;0.00388726919339164;12;0;3
Attila_spadiceus;0.00755143613193279;40039;416;106
Aulacorhynchus_coeruleicinctis;0.00473866709689337;130;16;9
Aulacorhynchus_derbianus;0.0328251294505726;4973;0;18
Aulacorhynchus_haematopygus;0.0130916317100513;591;20;11
Aulacorhynchus_prasinus;0.0367988065879336;6868;378;34
Aulacorhynchus_sulcatus;0.00302677611471971;135;20;11
Automolus_ochrolaemus;0.0255631419916676;330078;2196;166
Automolus_rubiginosus;0.0306150421927643;895;0;8
Aythya_americana;0;0;0;1
Aythya_australis;NaN;0;2;2
Aythya_ferina;0.000957854406130268;1;0;2
Aythya_fuligula;0.00106016840222730;56;0;11
Babax_lanceolatus;0.00665403649872263;39;6;5
Baeolophus_bicolor;0;0;0;2
Baeolophus_inornatus;0.00252910052910053;478;0;21
Baeolophus_ridgwayi;0.00111111111111111;45;0;10
Balaeniceps_rex;0.0252318032536056;72;12;5
Balearica_pavonina;0.00612959719789842;7;4;3
Balearica_regulorum;0.00525394045534151;6;4;3
Bambusicola_thoracicus;0.00150070194123058;155;0;14
Bangsia_arcaei;0.00183823529411765;2;0;2
Bangsia_edwardsi;0.0145808019441069;12;0;2
Barnardius_zonarius;0;0;0;1
Baryphthengus_martii;0.0514964262187529;2255;0;10
Basileuterus_bivittatus;0.0552147239263804;63;0;2
Basileuterus_cinereicollis;NaN;0;2;2
Basileuterus_coronatus;0.0110101124902481;10245;0;44
Basileuterus_culicivorus;0.0355471220746362;11240;50;26
Basileuterus_flaveolus;NaN;0;2;2
Basileuterus_hypoleucus;0.0304467828186994;16944;0;33
Basileuterus_leucoblepharus;0.00576939387121351;8063;0;56
Basileuterus_luteoviridis;NaN;0;2;2
Basileuterus_rufifrons;0.0429824561403509;49;4;3
Basileuterus_signatus;NaN;0;2;2
Basileuterus_tristriatus;0.0229254436534038;152;8;5
Batara_cinerea;0;0;0;2
Bernieria_apperti;0.0511665511665512;136;0;3
Bernieria_cinereiceps;0;0;0;2
Bernieria_zosterops;0.0405353470677680;245109;0;116
Biziura_lobata;NaN;0;2;2
Bleda_canicapillus;0.0191485044035879;16513;0;43
Bleda_eximius;0.0327969137503444;5951;0;20
Bleda_notatus;0.00510074567666188;2572;0;33
Bleda_syndactylus;0.0525151354087137;178897;0;85
Blythipicus_pyrrhotis;0.00852878464818763;8;0;2
Bombycilla_cedrorum;0.0371596779970169;451;40;9
Bombycilla_garrulus;0.0219304559138786;440;0;7
Bombycilla_japonica;0.000694444444444445;2;6;4
Bonasa_bonasia;0.00656814449917898;4;4;3
Bonasa_sewerzowi;0.00499168053244592;3;0;2
Bonasa_umbellus;0.00328947368421053;2;10;4
Botaurus_lentiginosus;0.0134486071085495;14;0;2
Botaurus_stellaris;0.0115273775216138;12;0;2
Bowdleria_punctata;0.00279329608938548;2;0;2
Brachypteracias_leptosomus;0.191754554170662;200;0;2
Brachypteryx_montana;0.0686947988223749;70;0;2
Brachyramphus_brevirostris;0.00698004456393718;86;30;8
Brachyramphus_marmoratus;0.0144303083697354;1589;60;17
Brachyramphus_perdix;0.00483091787439614;5;0;2
Bradornis_infuscatus;0;0;0;2
Bradornis_mariquensis;0.0766998918952373;229;0;3
Bradornis_microrhynchus;0.00505050505050505;5;0;2
Bradornis_pallidus;0.0182370820668693;12;0;2
Bradypterus_alishanensis;0.00192864030858245;2;0;2
Bradypterus_baboecala;0.0552833534310784;172;0;3
Bradypterus_barratti;0.0182421227197347;11;0;2
Bradypterus_carpalis;0.00744878957169460;4;0;2
Bradypterus_caudatus;0.0414258188824663;43;0;2
Bradypterus_cinnamomeus;0.00701262272089762;5;0;2
Bradypterus_davidi;0.00293340249987649;64;0;7
Bradypterus_lopezi;0.0415282392026578;25;0;2
Bradypterus_luteoventris;0.0170128341331576;50;0;3
Bradypterus_mandelli;0.00385566868774570;264;0;12
Bradypterus_montis;0.00318067369494996;30;0;5
Bradypterus_sylvaticus;0.00331674958540630;2;0;2
Bradypterus_tacsanowskius;0.00128638134418481;4;0;3
Bradypterus_thoracicus;0.00256410256410256;16;0;4
Bradypterus_timorensis;0;0;0;2
Branta_bernicla;0.00759258910583495;11;8;4
Branta_canadensis;0;0;28;7
Branta_hutchinsii;0;0;126;24
Branta_leucopsis;NaN;0;2;2
Branta_ruficollis;NaN;0;2;2
Branta_sandvicensis;0;0;6;4
Brotogeris_chiriri;0.000741986081049299;10;0;6
Brotogeris_chrysoptera;0.00378578024007386;738;0;19
Brotogeris_cyanoptera;0.0148673510528703;890;0;11
Brotogeris_jugularis;0.00236531949173195;84;0;9
Brotogeris_pyrrhoptera;0.00234168900348978;70;0;9
Brotogeris_sanctithomae;0.00126894566065639;39;0;8
Brotogeris_tirica;0.00175438596491228;2;0;2
Brotogeris_versicolurus;0.0137351563267783;293;0;7
Bubo_africanus;0.0116920551703160;40;24;7
Bubo_ascalaphus;0.0204878048780488;21;4;3
Bubo_bengalensis;0;0;4;3
Bubo_capensis;0.00394088669950739;4;0;2
Bubo_lacteus;0.0137678767876788;23;8;4
Bubo_nipalensis;0.0134744947064485;14;0;2
Bubo_scandiaca;0.00273450211268817;892;672;48
Bubo_virginianus;0.0282535683196081;191;48;10
Bubulcus_ibis;0.00360450626431362;54;82;11
Bucanetes_githagineus;0.00808366615858034;40;0;4
Bucephala_albeola;0;0;0;2
Bucephala_clangula;0;0;4;3
Bucephala_islandica;0.00910746812386157;5;0;2
Buceros_bicornis;0.0228375299861986;319;0;6
Buceros_rhinoceros;0.0170792441562997;48;0;3
Bulweria_bulwerii;0.00128081972462376;4;6;4
Burhinus_grallarius;NaN;0;2;2
Burhinus_oedicnemus;0.0111945148501982;1378;0;24
Busarellus_nigricollis;0.000985221674876847;1;0;2
Butastur_indicus;NaN;0;2;2
Butastur_liventer;0;0;2;1
Buteo_albicaudatus;0.000638520441208460;2;0;3
Buteo_albigula;0;0;0;2
Buteo_albonotatus;0;0;0;2
Buteo_brachyurus;0.000929368029739777;1;0;2
Buteo_buteo;0.00601290667621403;62;10;6
Buteo_galapagoensis;NaN;0;2;2
Buteo_hemilasius;0;0;2;1
Buteo_jamaicensis;0.00814326768753296;51;8;5
Buteo_lagopus;0.000947985911452134;6;0;4
Buteo_leucorrhous;0.00220770570475633;14;0;4
Buteo_lineatus;0.000656814449917898;2;0;3
Buteo_magnirostris;0.00209167168057481;5;0;3
Buteo_nitidus;0;0;0;3
Buteo_platypterus;0.00127639313641108;4;0;3
Buteo_polyosoma;0.0108493416594942;34;0;3
Buteo_regalis;0.000638196568205541;2;6;4
Buteo_ridgwayi;0;0;0;2
Buteo_swainsoni;0.000638196568205541;2;6;4
Buteogallus_aequinoctialis;0;0;4;3
Buteogallus_anthracinus;0.00128952753222118;8;0;4
Buteogallus_meridionalis;0;0;0;3
Buteogallus_urubitinga;0.00835751450768769;51;0;4
Buthraupis_eximia;0.0386767008776215;130;0;3
Buthraupis_montana;0.0644358934388920;420;0;4
Butorides_striata;0.0158417370302682;362;4;9
Butorides_virescens;NaN;0;6;3
Bycanistes_brevis;0.00166074815352035;34;0;7
Bycanistes_bucinator;0.00287835641918785;26;0;5
Cacatua_ducorpsii;0;0;0;5
Cacatua_haematuropygia;0.00918181647623872;30;0;5
Cacatua_ophthalmica;0;0;0;3
Cacatua_pastinator;0;0;4;3
Cacatua_sanguinea;0.00669642857142857;3;4;3
Cacicus_cela;0.00332379862700229;30;0;5
Cacicus_chrysonotus;0.0467899891186072;43;0;2
Cacicus_chrysopterus;0.00289855072463768;8;0;3
Cacicus_haemorrhous;0.00113378684807256;1;0;2
Cacicus_leucoramphus;0.00112866817155756;1;0;2
Cacicus_melanicterus;0.00110132158590308;1;0;2
Cacicus_solitarius;0.00468202178052204;42;0;5
Cacicus_uropygialis;0.0409091188530889;370;0;5
Cacomantis_flabelliformis;0.0199335548172757;6;10;4
Cacomantis_merulinus;NaN;0;2;2
Cairina_moschata;0.00307779075417463;9364;0;81
Calamospiza_melanocorys;NaN;0;2;2
Calandrella_acutirostris;0.0181673646404735;613;144;17
Calandrella_brachydactyla;0.00597216250830889;1472;720;38
Calandrella_cinerea;0.0166926043528496;3625;630;36
Calandrella_raytal;0.00101214574898785;1;0;2
Calandrella_rufescens;0.00217515221656817;21;10;6
Calcarius_lapponicus;0.00269708726926982;3317;0;50
Calcarius_mccownii;0.00178094390026714;6;0;3
Calcarius_ornatus;0.00237459186702286;8;0;3
Calcarius_pictus;0;0;0;2
Calidris_alpina;0.0108731389969412;38699;6790;132
Calidris_canutus;0.00519210799584631;5;0;2
Calidris_ferruginea;0.000995024875621891;1;0;2
Calidris_himantopus;0;0;0;2
Calidris_maritima;0.00169840247451663;48709;0;285
Calidris_ptilocnemis;0.00137208357850875;2415;0;59
Calidris_ruficollis;NaN;0;2;2
Calidris_tenuirostris;0.00199004975124378;2;0;2
Callaeas_cinereus;0.000881834215167549;2;6;4
Callipepla_douglasii;NaN;0;2;2
Calliphlox_amethystina;0;0;2;1
Callocephalon_fimbriatum;0.0111607142857143;5;0;2
Callonetta_leucophrys;0.0216709500591542;63;0;3
Calochaetes_coccineus;0;0;0;2
Calocitta_formosa;0.0390243902439024;32;0;2
Caloenas_nicobarica;0.00509129213483146;87;4;3
Calonectris_diomedea;0.00649438394896843;3318;1138;49
Calonectris_edwardsii;0.00397074190177638;38;0;5
Calonectris_leucomelas;0.00208986415882968;6;0;3
Caloperdix_oculeus;NaN;0;2;2
Calorhamphus_fuliginosus;0;0;0;2
Calyptophilus_frugivorus;0.0810810810810811;84;0;2
Calyptorhynchus_baudinii;0.00446428571428571;2;4;3
Calyptorhynchus_funereus;0;0;0;2
Calyptorhynchus_lathami;NaN;0;2;2
Calyptorhynchus_latirostris;0.00224215246636771;1;4;3
Camarhynchus_heliobates;0.00233922288616438;12;0;4
Camarhynchus_pallidus;0.00249044863274329;34;0;6
Camarhynchus_parvulus;0.00203926571602068;23;0;6
Camarhynchus_pauper;0.00607699329597336;51;0;5
Camarhynchus_psittacula;0.00302772315193073;39;0;6
Camaroptera_brachyura;0.0752325084623221;224;0;3
Camaroptera_chloronota;0.0729729729729730;81;0;2
Campephaga_flava;0;0;0;2
Campephilus_guatemalensis;0.0326081862456380;100;0;3
Campephilus_haematogaster;0.00957887965735275;27;6;4
Campephilus_imperialis;NaN;0;6;3
Campephilus_magellanicus;0.00315126050420168;3;0;2
Campephilus_principalis;0.0136869186013799;108;0;6
Campethera_caroli;0.00415800415800416;2;0;2
Campethera_nivosa;0.00321794523032281;5;2;3
Campylorhamphus_procurvoides;0.0256201506747048;4501;0;19
Campylorhamphus_pusillus;0.0206173875932156;563;0;8
Campylorhamphus_trochilirostris;0.00315143829665836;145;0;10
Campylorhynchus_brunneicapillus;0.00383141762452107;12;0;3
